"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30308","GMI 132E","Numerical Analy. of Eng.Syst.","","Ata  Bilgili","DZBDZB","Perşembe Perşembe ","0830/1129 1230/1429 ","--- --- ","25","26","Yok/None","GMI, MEN"," MAT 101 MIN DDveya MAT 101E MIN DDveya MAT 103 MIN DDveya MAT 103E MIN DD","Yok/None"
"30309","GMI 213E","Thermodynamics","","Yasin  Arslanoğlu","DZBDZB","Salı Salı ","0830/1129 1230/1629 ","--- --- ","35","34","Yok/None","GMI, MEN"," FIZ 101 MIN DDveya FIZ 101E MIN DD","Yok/None"
"30310","GMI 228","Temel Elektronik","","Tayfun  Uyanık","DZBDZB","Pazartesi Pazartesi ","0830/1129 1230/1429 ","--- --- ","25","27","Yok/None","GMI","Yok/None","Yok/None"
"30311","GMI 254","Gemi Yardımcı Makineleri I","","Çağlar  Karatuğ","DZBDZB","Salı Salı ","0830/1129 1230/1629 ","--- --- ","15","11","Yok/None","GMI","Yok/None","Yok/None"
"30312","GMI 341E","Automatic Control Systems","","Tayfun  Uyanık","DZBDZB","Çarşamba Çarşamba ","0830/1129 1230/1629 ","--- --- ","20","17","Yok/None","GMI, MEN"," FIZ 102 MIN DDveya FIZ 102E MIN DD","Yok/None"
"30313","GMI 454","Gemi Yardımcı Makineleri II","","Çağlar  Karatuğ","DZBDZB","Perşembe Perşembe ","0830/1129 1230/1629 ","--- --- ","18","15","Yok/None","GMI"," GMI 392E MIN DDveya GMI 393E MIN DD","Yok/None"
"30182","GMI 457","Gemi Elektrotekniği","","Tayfun  Uyanık","DZBDZB","Salı Salı ","0830/1129 1230/1429 ","--- --- ","25","9","Yok/None","GMI","Yok/None","Yok/None"
"30381","GMI 462E","Oper.of Steam&Gas Turbines","","Cumali Seçkin Mengeçin","DZBDZB","Salı Salı ","0830/1129 1230/1429 ","--- --- ","20","7","Yok/None","GMI, MEN"," GMI 392E MIN DDveya GMI 393E MIN DD","Yok/None"
"30314","GMI 471E","Refrigeration and HVAC Systems","","Yasin  Arslanoğlu","DZBDZB","Çarşamba Çarşamba ","0830/1129 1230/1429 ","--- --- ","25","33","Yok/None","GMI, MEN","Yok/None","Yok/None"
"30380","GMI 473E","Marine Diesel Engines III","","Cumali Seçkin Mengeçin","DZBDZB","Cuma Cuma ","0830/1129 1400/1559 ","--- --- ","20","7","Yok/None","GMI, MEN"," GMI 392E MIN DDveya GMI 393E MIN DD","Yok/None"
"30183","GMI 481E","Marine Insurance","","Sinan  Çakır","DZBDZB","Pazartesi Pazartesi ","0830/1129 1230/1429 ","--- --- ","30","35","Yok/None","GMI, MEN","Yok/None","Yok/None"
"30184","GMI 486E","Shipping Finance","","Sinan  Çakır","DZBDZB","Çarşamba Çarşamba ","0830/1129 1230/1429 ","--- --- ","27","29","Yok/None","GMI, MTM","Yok/None","Yok/None"
"30391","GMI 486E","Shipping Finance","","Sinan  Çakır","DZBDZB","Perşembe Perşembe ","0830/1129 1230/1429 ","--- --- ","20","20","Yok/None","GMI, MEN, MTM","Yok/None","Yok/None"
