"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30323","ECN 103E","Markets and Ethics","","--","MED","Salı ","0830/1129 ","--- ","0","0","Yok/None","ECNE, EFN","Yok/None","Yok/None"
"30322","ECN 105E","Principles of Microeconomics","","--","MED","Perşembe ","0830/1229 ","--- ","0","0","Yok/None","ECNE, ECNM, EFN, MET","Yok/None","Yok/None"
"30326","ECN 201E","Intermediate Microeconomics","","--","MED","Perşembe ","0830/1229 ","--- ","0","0","Yok/None","ECNE, ISL, ISLE"," ECN 101E MIN DDveya ISL 233 MIN DDveya ISL 233E MIN DDveya ECN 105E MIN DDveya EKO 201E MIN DD","Yok/None"
"30327","ECN 207E","Mathematical Economics","","--","MED","Çarşamba ","0830/1229 ","--- ","0","0","Yok/None","ECNE, ECNM","Yok/None","Yok/None"
"30324","ECN 211E","Statistical Meth. in Economics","","--","MED","Perşembe ","1330/1729 ","--- ","0","0","Yok/None","ECNE, EFN","Yok/None","Yok/None"
"30328","ECN 301E","Econometrics I","","--","MED","Salı ","1330/1729 ","--- ","0","0","Yok/None","ECNE, ECNM, EFN, ESS"," ECN 206E MIN DDveya ECN 205E MIN DDveya ECN 209E MIN DDveya ECN 212E MIN DDveya ECN 211E MIN DD","Yok/None"
"30329","ECN 303E","Development Economics","","--","MED","Pazartesi ","1430/1729 ","--- ","0","0","Yok/None","ECNE, ECNM, ESS"," ECN 201E MIN DD","Yok/None"
"30331","ECN 305E","Industrial Organisation","","--","MED","Pazartesi ","0830/1129 ","--- ","0","0","Yok/None","ECNE, ECNM, EFN, ESS"," ECN 201E MIN DD","Yok/None"
"30330","ECN 307E","Game Theory","","--","---- ","---- ","---- ","---- ","0","0","Yok/None","ECNE, MAT"," ECN 201E MIN DDveya (EKO 201E MIN DDve END 252E MIN DD)veya (EKO 201 MIN DDve MAT 221 MIN DD)veya (EKO 201E MIN DDve MAT 221 MIN DD)veya (EKO 201 MIN DDve MAT 221E MIN DD)veya (EKO 201E MIN DDve MAT 221E MIN DD)","Yok/None"
"30333","ECN 309E","Money, Banking&Financial Mark.","","--","MED","Salı ","0830/1129 ","--- ","0","0","Yok/None","ECNE, ECNM, ESS"," ECN 202E MIN DD","Yok/None"
"30332","ECN 311E","International Trade","","--","MED","Perşembe ","0830/1129 ","--- ","0","0","Yok/None","ECNE, ECNM, ESS"," ECN 201E MIN DD","Yok/None"
"30334","ECN 401E","Turkish Economy","","--","MED","Cuma ","0830/1129 ","--- ","0","0","Yok/None","ECNE, ESS"," ECN 301E MIN DDveya ECN 202E MIN DD","Yok/None"
"30338","ECN 420E","Behavioural Economics","","--","MED","Pazartesi ","1430/1729 ","--- ","0","0","Yok/None","ECNE, EFN, END, ENDE, ESS"," ECN 201E MIN DD","Yok/None"
"30337","ECN 431E","Europ.Economics & Institutions","","--","MED","Cuma ","1430/1729 ","--- ","0","0","Yok/None","ECNE, EFN, ESS"," ECN 202E MIN DD","Yok/None"
"30335","ECN 432E","Labor Economics","","--","MED","Perşembe ","1130/1429 ","--- ","0","0","Yok/None","ECNE, EFN, ESS"," ECN 201E MIN DD","Yok/None"
"30336","ECN 433E","Regulatory Econ.& Reg. Markets","Çevrimiçi/Online","--","---- ","Salı ","1130/1429 ","---- ","0","0","Yok/None","ECNE, EFN, ESS"," ECN 201E MIN DD","Yok/None"
"30340","ECN 4902E","Graduation Project","","--","MED","---- ","/ ","--- ","0","0","Yok/None","ECNE, EFN, ESS"," ECN 301E MIN DD","4.Sınıf"
"30339","ECN 492E","Graduation Project","","--","MED","---- ","/ ","--- ","0","0","Yok/None","ECNE","  Diğer Şartlar","4.Sınıf"
